courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry,courseAwardingBody
https://www.reed.co.uk/courses/copywriting-course-level-4/255171#/courses/writing,Copywriting Course Level 4,English_Writing,13.99,Course Gate,130,0,Professional
https://www.reed.co.uk/courses/certificate-in-copywriting-cpd-accredited/248251#/courses/writing,Certificate in Copywriting - CPD Accredited,Personal development,10,One Education,124,0,CPD
https://www.reed.co.uk/courses/copywriting-masterclass-certificate-cpd-certified/244605#/courses/writing?pageno=32,Copywriting Masterclass Certificate - CPD Certified,Marketing_Branding,22,Be-a.co.uk,51,0,CPD
https://www.reed.co.uk/courses/film-tv-stage-and-radio-script-writing-diploma/104540#/courses/writing?pageno=7,Film TV Stage and Radio script writing diploma,Media studies,19,Elearn College,40,0,None
https://www.reed.co.uk/courses/copywriting-career-become-a-full-time-writer/81891#/courses/writing?pageno=17,Copywriting Career: Become a Full Time Writer!,English_Creative writing,12,OfCourse,36,0,None
https://www.reed.co.uk/courses/screen-and-playwriting-cpd-certified/78739#/courses/writing?pageno=18,Screen and Playwriting - CPD Certified,English_Creative writing,10,International Open Academy,31,0,CPD
https://www.reed.co.uk/courses/screenwriting-and-playwriting-course/240824#/courses/writing?pageno=17,Screenwriting and Playwriting Course,Personal development,17,Course Gate,25,0,None
https://www.reed.co.uk/courses/copywriting-masterclass-effective-writing/195350#/courses/writing?pageno=8,Copywriting Masterclass Effective Writing,English_Creative writing,157,Skill Success,21,0,None
https://www.reed.co.uk/courses/screenwriting-101/81897#/courses/writing?pageno=27,Screenwriting 101,Media studies,19,OfCourse,20,0,None
https://www.reed.co.uk/courses/business-communication-and-report-writing/201475#/courses/writing?pageno=13,Business communication and report writing,Business_Business administration,10,CPD Courses,19,0,CPD
https://www.reed.co.uk/courses/ultimate-online-screenwriting-course/241127#/courses/writing?pageno=2,Ultimate Online Screenwriting Course,Personal development,13,Course Gate,17,0,None
https://www.reed.co.uk/courses/online-screenwriting-course-uk-cpd-accredited/246735#/courses/writing?pageno=20,Online Screenwriting Course (UK) - CPD Accredited,Media studies,19,One Education,16,0,CPD
https://www.reed.co.uk/courses/playwriting-and-screenwriting-course/189210#/courses/writing?pageno=18,Playwriting and Screenwriting Course,English_Creative writing,19,Oplex Careers,11,0,CPD
