courseLink,courseName,courseSubject,coursePrice,courseProvider,Purchase,Enquiry
https://www.reed.co.uk/courses/copywriting-course-level-4-diploma/57653#/courses/writing,Copywriting course  (Level 4 Diploma) ,English_Writing,296.7,College of Media and Publishing,0,752
https://www.reed.co.uk/courses/credit-rating-project--10--wonderla-online-training/255622#/courses/writing?pageno=72,Credit Rating Project # 10 – Wonderla Online Training ,Finance,169,EduCBA,0,0
https://www.reed.co.uk/courses/credit-rating-project--10--wonderla-online-training/255622#/courses/writing?pageno=72,Credit Rating Project # 10 – Wonderla Online Training ,Finance,169,EduCBA,0,0
https://www.reed.co.uk/courses/cache-level-3-award-in-preparing-to-work-in-home-based-childcare/68538#/courses/writing?pageno=163,CACHE Level 3 Award in Preparing to Work in Home-based Childcare,Health &amp; care_Child care,250,Online Learning College,0,56
https://www.reed.co.uk/courses/manager-management--online-cpd-accredited-training-course/216628#/courses/writing?pageno=180,Manager Management – Online CPD Accredited Training Course ,HR_Management,10,MHC Training Solutions,0,0
https://www.reed.co.uk/courses/pco-licence-english-b1-training-christmas-offer-buy-one-get-one-half-price/193153#/courses/writing?pageno=51,PCO Licence - English B1 Training; Christmas offer - Buy One Get One Half Price,Driving,295,Pitman Training Wembley,0,26
https://www.reed.co.uk/courses/sales-development-training-job-placement/266538#/courses/writing?pageno=167,Sales Development Training &amp; Job Placement,Sales,790,Sellinstruct,0,1
https://www.reed.co.uk/courses/quickbooks-premier--2014/222567#/courses/writing?pageno=161,QuickBooks Premier – 2014 ,Accountancy_Accounting,13,Infinity Learning,0,0
https://www.reed.co.uk/courses/hnd-in-business-law/266172#/courses/writing?pageno=181,HND in Business Law,Business_Business management,5980,College of Contract Management,0,0
https://www.reed.co.uk/courses/cv-writing-skills-training-online-course-cpd-accredited-e-learning/254001#/courses/writing?pageno=17,CV Writing Skills Training - Online Course - CPD Accredited E-Learning,Personal development_Career development,10,MHC Training Solutions,0,0
https://www.reed.co.uk/courses/big-data-processing-using-apache-spark-video/195056#/courses/writing?pageno=39,Big Data Processing using Apache Spark [Video],IT_Big data,105.06,Packt Publishing,0,0
https://www.reed.co.uk/courses/office-administration/228135#/courses/writing?pageno=22,Office Administration,"Admin, secretarial &amp; PA",10,1 Training,828,0
https://www.reed.co.uk/courses/android-5-programming-by-example/199717#/courses/writing?pageno=93,Android 5 Programming by Example,IT_Coding,28.78,Packt Publishing,0,0
https://www.reed.co.uk/courses/project-management-certifications/25840#/courses/writing?pageno=138,Project Management Certifications,Project management,,ITonlinelearning,0,73
https://www.reed.co.uk/courses/certified-web-development-professional-level-ii/198584#/courses/writing?pageno=115,Certified Web Development Professional Level II,IT_Development_Web development,164.38,Packt Publishing,0,0
https://www.reed.co.uk/courses/comprehensive-c-training/236994#/courses/writing?pageno=30,Comprehensive C++ Training,IT_Coding_C++,14,EduCBA,4,0
